,LATITUDE,LONGITUDE,NAME,STATION,TEMP_COEF_AVG,TEMP_COEF_MAX,TEMP_COEF_MIN,YEAR_MAX,YEAR_MIN
153,17.55,-99.6833,"OMILTEMI, MX",MXN00012150,,,,2012,1981
154,56.45,-111.0333,"ANZAC, AB CA",CA003060281,,,,1978,1974
155,42.23333,-73.86667,"CATSKILL 1 N, NY US",USC00301260,,,,1976,1897
156,18.6833,-98.8167,"JONACATEPEC, MX",MXN00017028,-1.8348525037002306,-1.9969805500366005,-2.7900744279501297,2011,1927
157,39.5558,-119.7333,"SPARKS, NV US",USC00267697,,,6.00538377245224,2019,1989
158,27.7,-105.2167,"OJO CALIENTE, MX",MXN00008108,2.17352595481381,3.014865418649999,1.3218829230069484,1984,1938
159,47.7981,-107.0233,"KING COULEE MONTANA, MT US",USR0000MKIN,1.4536894367402846,0.6245817185724718,2.2700658355511973,2019,1988
160,48.2819,9.3144,"TROCHTELFINGEN WILSINGEN, GM",GME00129454,,,,2017,1989
161,24.1,-99.8167,"ARAMBERRI II, MX",MXN00019005,6.015525698110559,13.785096577484223,-1.74539726604231,2011,1971
162,17.5667,-98.7167,"CHIEPETEPEC, MX",MXN00012178,,,,2012,1981
163,50.6667,-120.3167,"KAMLOOPS TUNSTALL CRES, BC CA",CA001163873,,,,1973,1970
164,-29.7029,144.1482,"WANAARING POST OFFICE, AS",ASN00048079,,,,2018,1886
165,24.8333,-110.9667,"SAN PEDRO DE LA PRESA, MX",MXN00003075,2.0118963827819876,0.4808926427358924,3.538773651306257,2012,1973
166,47.99,-120.57,"POPE RIDGE, WA US",USS0020B24S,12.025696695714243,4.028794509647902,19.125895964072217,2019,1983
167,34.5211,-90.5899,"HELENA, AR US",USC00033242,-0.3375545998852228,-0.772832631016961,0.38595170498954906,2019,1893
168,49.3833,-82.1167,"BONNER LAKE, ON CA",CA006070QK6,3.8232470177480375,5.16727852046824,2.148450495964512,2017,1991
169,48.4167,-71.0833,"CHICOUTIMI, QC CA",CA007061440,1.726167083857896,0.1946981726963088,3.342617198659402,1978,1885
170,45.53167,-103.32916999999999,"ANTELOPE RANGE STATION, SD US",USC00390223,,,,2007,1954
171,40.6475,-80.38611,"MONTGOMERY LOCK AND DAM, PA US",USC00365902,1.4077344648266272,-0.9177382619643784,3.7370490886950276,2019,1962
172,53.45,-114.4667,"HIGHVALE, AB CA",CA003013247,,,,2006,1978
173,35.48333,-93.45,"CLARKSVILLE, AR US",USC00031455,-4.781803252423296,-3.8425124836444224,-5.731574199661237,1993,1954
174,21.9,-102.4167,"ABELARDO L. RODRIGUEZ, MX",MXN00001104,,,,2007,2003
